iter	AUC	Logloss
639	0.9478881359	0.1410549252
640	0.9479110241	0.1410251423
641	0.9479179382	0.1409971633
642	0.9479466081	0.1409359636
643	0.9479576349	0.14089469
644	0.9479638934	0.1408806315
645	0.9479679465	0.1408708489
646	0.947994411	0.1408018401
647	0.9480113983	0.1407774367
648	0.9480975866	0.1407037489
649	0.9481549263	0.1406418702
650	0.9481637478	0.1406000024
651	0.948176235	0.1405623468
652	0.9482191205	0.1405085955
653	0.9482518435	0.14046416
654	0.9483104944	0.1403748328
655	0.9483200908	0.1403352567
656	0.9483632147	0.140256858
657	0.9484222829	0.1401745441
658	0.9484263062	0.1401676581
659	0.9484453797	0.1401058643
660	0.9484661818	0.1400477841
661	0.9484888911	0.1400225318
662	0.948507607	0.1399951681
663	0.9485299587	0.1399548918
664	0.9485824108	0.1399053952
665	0.9485998154	0.1398742013
666	0.9486089945	0.1398529915
667	0.9486912489	0.1397684494
668	0.9487391114	0.1397273137
669	0.9487458766	0.1396895838
670	0.9487458766	0.1396626021
671	0.9487540126	0.1396370952
672	0.9487664104	0.1396120764
673	0.9487826824	0.1395891159
674	0.9488251209	0.1395298898
675	0.9488294721	0.13947773
676	0.9488354921	0.1394764887
677	0.948851943	0.1394483504
678	0.9488535523	0.1394414856
679	0.9488998652	0.1393735167
680	0.948913455	0.1393545351
681	0.948923409	0.1393167628
682	0.9489989877	0.1392759029
683	0.9490230083	0.1392308626
684	0.949062109	0.1391891857
685	0.9491150379	0.139104092
686	0.9491246939	0.1390651525
687	0.9491384625	0.139026489
688	0.9491790533	0.1389635599
689	0.9491974115	0.1388964929
690	0.9492118955	0.1388724395
691	0.9492326975	0.138814232
692	0.9492818117	0.1387550271
693	0.9492854476	0.1387434938
694	0.9492859244	0.1387380402
695	0.9493028522	0.1387012122
696	0.9493108988	0.1386763631
697	0.9493557215	0.1386205641
698	0.9493739605	0.138598166
699	0.9493891001	0.1385760649
700	0.9493927956	0.1385679269
701	0.9494111538	0.1385570621
702	0.949432373	0.13852312
703	0.949475348	0.1384708118
704	0.9494857788	0.1384476285
705	0.9495418668	0.1383845615
706	0.9495473504	0.1383629697
707	0.9495642781	0.1383296962
708	0.9496155381	0.1382740775
709	0.9496383667	0.1382189257
710	0.9496509433	0.1381825964
711	0.9496591091	0.1381735141
712	0.949670136	0.1381358266
713	0.9496789575	0.1381029032
714	0.9496890903	0.1380784573
715	0.9497007728	0.1380657357
716	0.9497182965	0.1380331624
717	0.9497912526	0.1379421375
718	0.9498109818	0.1379069329
719	0.9498099089	0.1379054793
720	0.9498474598	0.1378335315
721	0.9498697519	0.1378046718
722	0.949894011	0.1377707934
723	0.949906528	0.1377230476
724	0.94991678	0.1376929676
725	0.9499515891	0.137631768
726	0.9499742985	0.1375900169
727	0.9500130415	0.1375177615
728	0.9500233531	0.1374660262
729	0.9500741363	0.1374230655
730	0.9501026869	0.1373808793
731	0.9501173496	0.1373446243
732	0.9501330256	0.1373159661
733	0.9501653314	0.137256931
734	0.9501793981	0.1372333551
735	0.9501946568	0.1371961558
736	0.9502105117	0.1371652695
737	0.9502596855	0.1371273168
738	0.95029217	0.1370784357
739	0.9503156543	0.1370507112
740	0.9503291249	0.1370325996
741	0.9503513575	0.1369735539
742	0.9503782392	0.1369414686
743	0.9503751993	0.1369369169
744	0.9504647255	0.1368835264
745	0.9505516291	0.1368178811
746	0.9505814314	0.1367614985
747	0.9505872726	0.1367473869
748	0.9506405592	0.1366801925
749	0.9506697059	0.1366260381
750	0.9507106543	0.1365708651
751	0.9507124424	0.1365652311
752	0.9507274032	0.1365342493
753	0.9508154988	0.1364789808
754	0.9508149028	0.1364416117
755	0.9508280754	0.1363925607
756	0.9508223534	0.1363525815
757	0.9508869648	0.136284655
758	0.9509155452	0.1362277101
759	0.9509268403	0.1361894497
760	0.9509289861	0.1361740649
761	0.9509253204	0.1361699694
762	0.9509525299	0.1361016716
763	0.9509730935	0.1360676871
764	0.9509936571	0.1360199306
765	0.951000154	0.1359940099
766	0.951000154	0.1359874846
767	0.9510163069	0.135948524
768	0.9510341287	0.1359065394
769	0.9510581493	0.1358636636
770	0.9510713816	0.1358110158
771	0.9510751367	0.1357795036
772	0.951073885	0.1357790367
773	0.9510948062	0.1357355455
774	0.9511073828	0.1357091261
775	0.9511461258	0.1356577728
776	0.9511606693	0.1356315019
777	0.9512156248	0.1355684349
778	0.9512394667	0.1355190338
779	0.9512525797	0.1354965721
780	0.9512714744	0.1354726142
781	0.9512954354	0.1354276164
782	0.9513323307	0.1353654937
783	0.9513459802	0.1353338965
784	0.9513624609	0.1353027238
785	0.951367557	0.1352655775
786	0.9513899684	0.1352306593
787	0.9514645934	0.1351737356
788	0.9514696598	0.135156059
789	0.9514675736	0.1351508282
790	0.9514676929	0.1351460324
791	0.9514704943	0.1351369288
792	0.9514996111	0.1350806736
793	0.9515008032	0.1350772253
794	0.9515080154	0.1350578935
795	0.9515067041	0.1350511878
796	0.9515172541	0.1350305828
797	0.951521188	0.1350058717
798	0.9515210986	0.1350056701
799	0.9515347183	0.1349654787
800	0.9515419006	0.1349362157
801	0.9515482187	0.1349101465
802	0.9515515566	0.134904661
803	0.9515867829	0.1348576366
804	0.9516234398	0.1348004583
805	0.9516297579	0.1347833759
806	0.9516332746	0.1347441606
807	0.9516649842	0.1346993431
808	0.9516660571	0.1346878416
809	0.9516665339	0.1346830352
810	0.9516807199	0.134657592
811	0.9517041743	0.1346296766
812	0.9517249465	0.1345782065
813	0.9517398477	0.1345518614
814	0.9517633319	0.1345200308
815	0.9517826438	0.134463436
816	0.9517931938	0.1344245921
817	0.9517928958	0.1344242419
818	0.9517928958	0.134401865
819	0.9518299699	0.1343613447
820	0.9518637657	0.1343096624
821	0.9518834352	0.1342803358
822	0.9518909454	0.1342645054
823	0.9518945813	0.1342578634
824	0.9518948197	0.1342313698
825	0.9518968463	0.1342270196
826	0.9518914819	0.134201693
827	0.9518973231	0.1341788811
828	0.9519160986	0.1341311352
829	0.9519568086	0.1340750179
830	0.9519915581	0.1340515906
831	0.9520040751	0.1340339352
832	0.952005744	0.1340154841
833	0.952010721	0.1340082373
834	0.952011466	0.1339869851
835	0.952021718	0.1339521837
836	0.9520666599	0.1338782518
837	0.9521483779	0.1338035348
838	0.9521784782	0.133765285
839	0.9522294998	0.1337188442
840	0.9523100853	0.1336612945
841	0.9523128271	0.1336446577
842	0.9523509145	0.1336153524
843	0.9523524642	0.1336052621
844	0.9523530006	0.1336049331
845	0.9523724914	0.1335826623
846	0.9523796439	0.1335548318
847	0.9523753524	0.1335541846
848	0.9523800313	0.1335447733
849	0.9523798823	0.1335439245
850	0.9524052739	0.1334841573
851	0.9524248838	0.133443934
852	0.9524267912	0.1334405918
